Date,Close,Open,High,Low,Order matchings,% Change
12-06-15,21387,21254,21587,21254,153.10K,0.00%
15-06-15,21254,21321,21321,21122,69.43K,-0.62%
16-06-15,21188,21188,21254,21122,56.47K,-0.31%
17-06-15,21852,21188,21852,21188,178.60K,3.13%
18-06-15,21587,21852,21852,21587,64.53K,-1.21%
19-06-15,21587,21786,21919,21520,27.95K,0.00%
22-06-15,22051,21653,22184,21653,175.99K,2.15%
23-06-15,21919,22184,22251,21919,30.71K,-0.60%
24-06-15,21852,22184,22184,21587,11.04K,-0.31%
25-06-15,21587,21919,21985,21587,55.42K,-1.21%
26-06-15,21587,21587,21786,21520,84.76K,0.00%
29-06-15,21653,21587,21719,21587,55.09K,0.31%
30-06-15,21852,21653,21919,21653,59.27K,0.92%
01-07-15,21786,21852,21852,21587,24.90K,-0.30%
02-07-15,21852,21919,21919,21852,46.12K,0.30%
03-07-15,21587,22251,22251,21587,127.37K,-1.21%
06-07-15,21895,20045,22743,19428,49.34K,1.43%
07-07-15,22435,21895,22666,21895,139.31K,2.47%
08-07-15,22280,22589,22666,22280,39.80K,-0.69%
09-07-15,22203,22203,22280,22126,30.80K,-0.35%
10-07-15,22203,22358,22358,21972,28.98K,0.00%
13-07-15,21972,22049,22049,21972,40.73K,-1.04%
14-07-15,21895,21972,22126,21895,33.20K,-0.35%
15-07-15,21818,21972,21972,21818,66.38K,-0.35%
16-07-15,21895,21818,21972,21818,87.09K,0.35%
17-07-15,21818,21895,21895,21818,36.84K,-0.35%
20-07-15,21741,21818,21818,21741,43.88K,-0.35%
21-07-15,21509,21741,21741,21509,59.54K,-1.07%
22-07-15,21509,21509,21818,21509,80.31K,0.00%
23-07-15,21664,21587,21664,21509,51.33K,0.72%
24-07-15,22203,21587,22203,21587,76.20K,2.49%
27-07-15,22203,22358,22358,21895,124.25K,0.00%
28-07-15,24362,22358,24362,22358,713.33K,9.72%
